date,patch,blue_team,red_team,winner,blue_bans,red_bans,blue_picks,red_picks,blue_roster,red_roster,length,blue_gold,blue_kills,blue_towers,blue_dragons,blue_barons,blue_rift_heralds,red_gold,red_kills,red_towers,red_dragons,red_barons,red_rift_heralds
2021-04-11 11:11:00,11.6,EDward Gaming,FunPlus Phoenix,EDward Gaming,"Lillia,Renekton,Orianna,Ryze,Leona","Thresh,Tahm Kench,Rell,Nocturne,Alistar","Jayce,Hecarim,Sylas,Kai'Sa,Gragas","Gnar,Udyr,Lulu,Tristana,Rakan","Flandre,Jiejie,Scout,Viper (Park Do-hyeon),Meiko","Nuguri,Tian,Doinb,Lwx,Crisp",26:39,53359,18,8,1,1,,43077,4,3,2,0,
2021-04-11 10:19:00,11.6,FunPlus Phoenix,EDward Gaming,FunPlus Phoenix,"Nocturne,Alistar,Udyr,Azir,Renekton","Thresh,Jayce,Viktor,Corki,Gnar","Sett,Hecarim,Akali,Senna,Tahm Kench","Gragas,Volibear,Orianna,Tristana,Rell","Nuguri,Tian,Doinb,Lwx,Crisp","Flandre,Jiejie,Scout,Viper (Park Do-hyeon),Meiko",30:42,61232,15,9,4,2,,48467,6,2,1,0,
2021-04-11 09:22:00,11.6,EDward Gaming,FunPlus Phoenix,EDward Gaming,"Lillia,Renekton,Orianna,Gnar,Corki","Hecarim,Alistar,Thresh,Nocturne,Twisted Fate","Gragas,Udyr,Qiyana,Tristana,Rakan","Sett,Volibear,Viktor,Kai'Sa,Rell","Flandre,Jiejie,Scout,Viper (Park Do-hyeon),Meiko","Nuguri,Tian,Doinb,Lwx,Crisp",31:11,59441,19,7,2,2,,48617,9,2,2,0,
2021-04-10 23:21:00,11.5,Team Liquid,TSM,Team Liquid,"Nidalee,Nocturne,Orianna,Tristana,Varus","Seraphine,Gnar,Thresh,Gangplank,Ahri","Sion,Hecarim,Viktor,Senna,Tahm Kench","Renekton,Udyr,Azir,Jinx,Rell","Alphari,Armao,Jensen,Tactical,CoreJJ","Huni,Spica,PowerOfEvil,Lost,SwordArt",23:17,47550,19,10,3,0,1,33691,0,1,0,0,1
2021-04-10 21:59:00,11.5,TSM,Team Liquid,TSM,"Seraphine,Twisted Fate,Rell,Jinx,Gangplank","Nidalee,Nocturne,Gnar,Nautilus,Alistar","Renekton,Udyr,Orianna,Kai'Sa,Rakan","Sion,Hecarim,Viktor,Varus,Thresh","Huni,Spica,PowerOfEvil,Lost,SwordArt","Alphari,Armao,Jensen,Tactical,CoreJJ",35:52,68094,11,9,3,1,2,60124,8,5,2,0,0
2021-04-10 20:56:00,11.5,TSM,Team Liquid,Team Liquid,"Seraphine,Twisted Fate,Renekton,Orianna,Camille","Nidalee,Hecarim,Udyr,Xayah,Alistar","Gnar,Lillia,Lucian,Tristana,Gragas","Gangplank,Nocturne,Annie,Kai'Sa,Rell","Huni,Spica,PowerOfEvil,Lost,SwordArt","Alphari,Armao,Jensen,Tactical,CoreJJ",34:39,60858,13,6,3,0,2,64746,18,8,1,1,0
2021-04-10 19:41:00,11.5,Team Liquid,TSM,Team Liquid,"Nidalee,Nocturne,Jayce,Tahm Kench,Kai'Sa","Seraphine,Twisted Fate,Thresh,Sylas,Azir","Gnar,Udyr,Viktor,Xayah,Rell","Renekton,Hecarim,Orianna,Tristana,Alistar","Alphari,Armao,Jensen,Tactical,CoreJJ","Huni,Spica,PowerOfEvil,Lost,SwordArt",37:40,67420,15,6,4,0,0,63542,6,9,2,1,2
2021-04-10 17:53:00,11.6,G2 Esports,Rogue (European Team),Rogue (European Team),"Jinx,Hecarim,Lucian,Nocturne,Jayce","Seraphine,Senna,Tristana,Viktor,Syndra","Karma,Udyr,Sylas,Ashe,Braum","Renekton,Lillia,Orianna,Varus,Thresh","Wunder,Jankos,Caps,Rekkles,Mikyx","Odoamne,Inspired,Larssen,Hans sama,Trymbi",32:38,50340,8,0,1,0,0,63331,18,10,3,1,2
2021-04-10 16:55:00,11.6,G2 Esports,Rogue (European Team),Rogue (European Team),"Jinx,Hecarim,Thresh,Kalista,Kai'Sa","Seraphine,Senna,Tristana,Alistar,Nautilus","Gnar,Udyr,Syndra,Jhin,Gragas","Nocturne,Lillia,Lucian,Ashe,Rell","Wunder,Jankos,Caps,Rekkles,Mikyx","Odoamne,Inspired,Larssen,Hans sama,Trymbi",29:06,46218,5,3,1,0,2,58234,23,8,3,1,0
2021-04-10 15:55:00,11.6,Rogue (European Team),G2 Esports,Rogue (European Team),"Senna,Seraphine,Hecarim,Orianna,Syndra","Tristana,Rell,Udyr,Lillia,Fiddlesticks","Renekton,Nidalee,Lucian,Jinx,Thresh","Karma,Nocturne,Twisted Fate,Jhin,Blitzcrank","Odoamne,Inspired,Larssen,Hans sama,Trymbi","Wunder,Jankos,Caps,Rekkles,Mikyx",32:20,60012,13,8,3,0,0,51081,9,1,2,0,1
2021-04-10 13:56:00,11.6,G2 Esports,Rogue (European Team),G2 Esports,"Jinx,Lillia,Hecarim,Thresh,Gnar","Tristana,Lucian,Orianna,Tahm Kench,Viktor","Urgot,Olaf,Seraphine,Senna,Gragas","Karma,Udyr,Syndra,Ashe,Rell","Wunder,Jankos,Caps,Rekkles,Mikyx","Odoamne,Inspired,Larssen,Hans sama,Trymbi",35:55,64867,13,7,3,1,0,57791,9,3,3,0,2
2021-04-10 12:46:00,11.6,Royal Never Give Up,Top Esports,Royal Never Give Up,"Tahm Kench,Zoe,Twisted Fate,Sion,Jax","Alistar,Thresh,Hecarim,Gragas,Nautilus","Lucian,Udyr,Azir,Kai'Sa,Rakan","Malphite,Volibear,Orianna,Draven,Rell","Xiaohu,Wei (Yan Yang-Wei),Cryin,GALA,Ming (Shi Sen-Ming)","369,Karsa,knight (Zhuo Ding),JackeyLove,Zhuo",42:50,80036,18,9,1,3,,81156,24,7,5,0,
2021-04-10 12:00:00,11.6,Top Esports,Royal Never Give Up,Top Esports,"Alistar,Lucian,Nocturne,Malphite,Twisted Fate","Thresh,Hecarim,Udyr,Lillia,Zoe","Jayce,Lee Sin,Syndra,Varus,Tahm Kench","Ornn,Olaf,Orianna,Senna,Karma","369,Karsa,knight (Zhuo Ding),JackeyLove,Zhuo","Xiaohu,Wei (Yan Yang-Wei),Cryin,GALA,Ming (Shi Sen-Ming)",25:57,55153,24,10,3,1,,40519,8,1,0,0,
2021-04-10 11:08:00,11.6,Royal Never Give Up,Top Esports,Royal Never Give Up,"Zoe,Tahm Kench,Twisted Fate,Sylas,Ryze","Thresh,Alistar,Kai'Sa,Lucian,Orianna","Jayce,Hecarim,Galio,Xayah,Rell","Sion,Udyr,Akali,Tristana,Gragas","Xiaohu,Wei (Yan Yang-Wei),Cryin,GALA,Ming (Shi Sen-Ming)","369,Karsa,knight (Zhuo Ding),JackeyLove,Zhuo",30:40,59116,20,10,3,1,,49896,9,1,2,0,
