match_id,tier,division,patch,game_duration,region,winning_team,first_champion,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald
EUW1_5460753886,BRONZE,I,11.18,1533,EUW1,200.0,200.0,200.0,200.0,200.0,100.0,100.0
EUW1_5459722123,BRONZE,I,11.18,1436,EUW1,100.0,200.0,200.0,,,100.0,100.0
EUW1_5458765816,BRONZE,I,11.18,1198,EUW1,200.0,200.0,200.0,200.0,,200.0,100.0
EUW1_5456705688,BRONZE,I,11.18,1274,EUW1,200.0,100.0,200.0,,,200.0,200.0
EUW1_5456731589,BRONZE,I,11.18,1192,EUW1,200.0,200.0,200.0,200.0,,200.0,200.0
EUW1_5456595457,BRONZE,I,11.18,1531,EUW1,200.0,200.0,200.0,200.0,200.0,100.0,200.0
EUW1_5456510066,BRONZE,I,11.18,1921,EUW1,100.0,100.0,100.0,100.0,100.0,200.0,100.0
EUW1_5454847859,BRONZE,I,11.18,2401,EUW1,200.0,100.0,200.0,200.0,200.0,100.0,200.0
EUW1_5454832261,BRONZE,I,11.18,2030,EUW1,200.0,200.0,200.0,100.0,100.0,100.0,200.0
EUW1_5454022583,BRONZE,I,11.18,1972,EUW1,200.0,100.0,100.0,200.0,,100.0,100.0
EUW1_5453365564,BRONZE,I,11.18,2090,EUW1,200.0,200.0,100.0,200.0,200.0,200.0,100.0
EUW1_5453250268,BRONZE,I,11.18,2371,EUW1,100.0,200.0,100.0,100.0,100.0,100.0,100.0
EUW1_5453216617,BRONZE,I,11.18,1559,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
EUW1_5451255235,BRONZE,I,11.17,1447,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
EUW1_5451252842,BRONZE,I,11.17,1590,EUW1,100.0,100.0,100.0,100.0,100.0,200.0,
EUW1_5450420912,BRONZE,I,11.17,2281,EUW1,200.0,200.0,100.0,200.0,200.0,100.0,100.0
EUW1_5450235450,BRONZE,I,11.17,1969,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,200.0
EUW1_5449666643,BRONZE,I,11.17,1326,EUW1,200.0,100.0,200.0,200.0,,200.0,200.0
EUW1_5449635914,BRONZE,I,11.17,1299,EUW1,200.0,200.0,200.0,,,200.0,200.0
EUW1_5449147337,BRONZE,I,11.17,2326,EUW1,100.0,200.0,100.0,100.0,100.0,200.0,100.0
EUW1_5449065981,BRONZE,I,11.17,2221,EUW1,200.0,100.0,100.0,200.0,200.0,100.0,100.0
EUW1_5448940194,BRONZE,I,11.17,2239,EUW1,100.0,100.0,200.0,100.0,200.0,200.0,100.0
EUW1_5447933245,BRONZE,I,11.17,1787,EUW1,200.0,100.0,200.0,200.0,200.0,100.0,200.0
EUW1_5447656257,BRONZE,I,11.17,2364,EUW1,200.0,100.0,100.0,200.0,100.0,200.0,100.0
EUW1_5447417214,BRONZE,I,11.17,2503,EUW1,200.0,200.0,100.0,100.0,200.0,100.0,200.0
EUW1_5446166237,BRONZE,I,11.17,1724,EUW1,200.0,200.0,100.0,200.0,200.0,200.0,100.0
EUW1_5446058456,BRONZE,I,11.17,3038,EUW1,100.0,200.0,200.0,100.0,200.0,200.0,200.0
EUW1_5407799419,BRONZE,I,11.15,2027,EUW1,200.0,100.0,200.0,200.0,200.0,200.0,100.0
EUW1_5406945741,BRONZE,I,11.15,1510,EUW1,100.0,100.0,200.0,100.0,,100.0,200.0
EUW1_5406850206,BRONZE,I,11.15,1715,EUW1,200.0,200.0,200.0,200.0,200.0,100.0,200.0
EUW1_5406824122,BRONZE,I,11.15,1999,EUW1,200.0,100.0,100.0,100.0,100.0,100.0,100.0
EUW1_5406320013,BRONZE,I,11.15,1996,EUW1,200.0,200.0,200.0,200.0,200.0,100.0,200.0
EUW1_5406284673,BRONZE,I,11.15,2495,EUW1,100.0,200.0,100.0,100.0,100.0,100.0,100.0
