match_id,count,tier,division,patch,game_duration,region,winning_team,first_champion,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald
EUW1_5521814557,3459,BRONZE,I,11.21,1797,EUW1,200.0,200.0,200.0,200.0,200.0,100.0,200.0
EUW1_5521717383,3460,BRONZE,I,11.21,1428,EUW1,100.0,200.0,100.0,100.0,,100.0,100.0
EUW1_5521598005,3461,BRONZE,I,11.21,2026,EUW1,100.0,200.0,200.0,100.0,,200.0,200.0
EUW1_5521455253,3462,BRONZE,I,11.21,2667,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,
EUW1_5520465004,3463,BRONZE,I,11.21,2027,EUW1,200.0,100.0,100.0,200.0,200.0,100.0,100.0
EUW1_5519964529,3464,BRONZE,I,11.21,973,EUW1,100.0,100.0,100.0,,,200.0,200.0
EUW1_5519848551,3465,BRONZE,I,11.21,1421,EUW1,200.0,200.0,200.0,200.0,,200.0,200.0
EUW1_5519396375,3466,BRONZE,I,11.21,1872,EUW1,200.0,100.0,100.0,200.0,200.0,100.0,200.0
EUW1_5519293925,3467,BRONZE,I,11.21,1815,EUW1,200.0,200.0,200.0,200.0,,200.0,200.0
EUW1_5519198937,3468,BRONZE,I,11.21,1532,EUW1,100.0,100.0,100.0,100.0,100.0,200.0,100.0
EUW1_5518554101,3469,BRONZE,I,11.21,1798,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,200.0
EUW1_5518093722,3470,BRONZE,I,11.21,2411,EUW1,200.0,100.0,100.0,100.0,200.0,100.0,100.0
EUW1_5516964300,3471,BRONZE,I,11.21,2585,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
EUW1_5516893310,3472,BRONZE,I,11.21,1995,EUW1,100.0,200.0,200.0,100.0,200.0,100.0,200.0
EUW1_5515319171,3473,BRONZE,I,11.21,2021,EUW1,200.0,200.0,200.0,200.0,200.0,100.0,100.0
EUW1_5515193651,3474,BRONZE,I,11.21,1530,EUW1,200.0,200.0,100.0,,,200.0,200.0
EUW1_5515099128,3475,BRONZE,I,11.21,1798,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,200.0
EUW1_5513388559,3476,BRONZE,I,11.2,1701,EUW1,100.0,200.0,200.0,100.0,200.0,200.0,100.0
EUW1_5513304139,3477,BRONZE,I,11.2,924,EUW1,100.0,100.0,,,,200.0,200.0
EUW1_5512253349,3478,BRONZE,I,11.2,2072,EUW1,200.0,100.0,100.0,200.0,200.0,200.0,200.0
EUW1_5510618839,3479,BRONZE,I,11.2,1772,EUW1,200.0,100.0,200.0,100.0,200.0,100.0,100.0
EUW1_5510561376,3480,BRONZE,I,11.2,2040,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,200.0
EUW1_5509332383,3481,BRONZE,I,11.2,2364,EUW1,200.0,200.0,100.0,200.0,200.0,200.0,100.0
EUW1_5509077820,3482,BRONZE,I,11.2,1859,EUW1,200.0,100.0,100.0,200.0,200.0,100.0,100.0
EUW1_5507621292,3483,BRONZE,I,11.2,1765,EUW1,100.0,100.0,100.0,100.0,,200.0,200.0
EUW1_5507493603,3484,BRONZE,I,11.2,1728,EUW1,100.0,100.0,100.0,100.0,,100.0,200.0
EUW1_5506854620,3485,BRONZE,I,11.2,2394,EUW1,200.0,100.0,100.0,200.0,200.0,100.0,100.0
EUW1_5506800185,3486,BRONZE,I,11.2,1625,EUW1,100.0,200.0,100.0,100.0,,100.0,100.0
EUW1_5506259481,3487,BRONZE,I,11.2,1427,EUW1,200.0,200.0,200.0,200.0,,100.0,200.0
EUW1_5506186836,3488,BRONZE,I,11.2,2502,EUW1,200.0,100.0,100.0,100.0,200.0,200.0,
EUW1_5505775461,3489,BRONZE,I,11.2,1690,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,200.0
EUW1_5498801192,3490,BRONZE,I,11.2,2027,EUW1,100.0,200.0,200.0,,200.0,100.0,100.0
EUW1_5480635007,3491,BRONZE,I,11.19,1356,EUW1,100.0,100.0,100.0,100.0,,200.0,100.0
EUW1_5478505933,3492,BRONZE,I,11.19,2627,EUW1,200.0,100.0,100.0,200.0,200.0,100.0,100.0
EUW1_5476556958,3493,BRONZE,I,11.19,2419,EUW1,200.0,100.0,100.0,200.0,200.0,200.0,200.0
EUW1_5475895891,3494,BRONZE,I,11.19,1164,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
EUW1_5472578977,3495,BRONZE,I,11.19,2301,EUW1,200.0,100.0,100.0,200.0,200.0,200.0,100.0
EUW1_5462390195,3496,BRONZE,I,11.18,1330,EUW1,200.0,200.0,200.0,200.0,,200.0,200.0
EUW1_5456855176,3497,BRONZE,I,11.18,1990,EUW1,200.0,200.0,200.0,200.0,,200.0,
EUW1_5455988144,3498,BRONZE,I,11.18,1786,EUW1,200.0,100.0,200.0,200.0,,100.0,100.0
EUW1_5454624746,3499,BRONZE,I,11.18,1121,EUW1,200.0,200.0,200.0,200.0,,200.0,100.0
EUW1_5454620936,3500,BRONZE,I,11.18,1243,EUW1,100.0,100.0,100.0,,,100.0,100.0
EUW1_5453482216,3501,BRONZE,I,11.18,1595,EUW1,200.0,100.0,200.0,200.0,,200.0,100.0
EUW1_5450463585,3502,BRONZE,I,11.17,1637,EUW1,100.0,200.0,100.0,,100.0,200.0,100.0
EUW1_5450219977,3503,BRONZE,I,11.17,1679,EUW1,100.0,200.0,100.0,100.0,,100.0,200.0
EUW1_5450056651,3504,BRONZE,I,11.17,1164,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
EUW1_5449078107,3505,BRONZE,I,11.17,1698,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,200.0
EUW1_5449083544,3506,BRONZE,I,11.17,1593,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,
EUW1_5448823318,3507,BRONZE,I,11.17,1867,EUW1,100.0,200.0,100.0,100.0,200.0,100.0,100.0
EUW1_5447813706,3508,BRONZE,I,11.17,1597,EUW1,200.0,200.0,200.0,200.0,,200.0,200.0
EUW1_5447556131,3509,BRONZE,I,11.17,2483,EUW1,200.0,100.0,200.0,200.0,100.0,100.0,200.0
EUW1_5447438307,3510,BRONZE,I,11.17,1780,EUW1,100.0,200.0,100.0,100.0,,200.0,200.0
EUW1_5446953619,3511,BRONZE,I,11.17,1907,EUW1,100.0,200.0,200.0,100.0,100.0,200.0,200.0
EUW1_5446341687,3512,BRONZE,I,11.17,1533,EUW1,200.0,100.0,200.0,,,100.0,200.0
EUW1_5446266226,3513,BRONZE,I,11.17,1061,EUW1,200.0,200.0,200.0,,,200.0,200.0
EUW1_5446126303,3514,BRONZE,I,11.17,1519,EUW1,200.0,100.0,200.0,200.0,,200.0,200.0
EUW1_5446101194,3515,BRONZE,I,11.17,1040,EUW1,100.0,200.0,200.0,,,100.0,200.0
EUW1_5446016902,3516,BRONZE,I,11.17,1365,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
EUW1_5445703443,3517,BRONZE,I,11.17,1403,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
EUW1_5444608147,3518,BRONZE,I,11.17,1995,EUW1,100.0,100.0,200.0,100.0,,100.0,200.0
