match_id,patch,game_duration,region,winning_team,first_champion,first_towerfirst_inhibitor,first_baron,first_dragon,first_rift_herald
EUW1_5526935795,11.21,1919,EUW1,200,200,200,200,200,200,100
EUW1_5526347201,11.21,1748,EUW1,200,200,200,200,200,200,100
EUW1_5526312812,11.21,1316,EUW1,100,100,200,,100,100,100
EUW1_5525212859,11.21,1752,EUW1,100,200,100,100,100,200,200
EUW1_5525169135,11.21,1417,EUW1,100,200,100,100,100,200,100
EUW1_5524188714,11.21,1736,EUW1,200,100,200,200,200,100,100
EUW1_5524211802,11.21,1491,EUW1,200,100,200,200,200,200,200
EUW1_5524148413,11.21,1124,EUW1,100,100,100,,,100,100
EUW1_5524043654,11.21,2305,EUW1,100,100,100,100,200,100,100
EUW1_5523896812,11.21,2176,EUW1,100,200,200,100,200,100,200
EUW1_5523099679,11.21,1539,EUW1,200,100,200,200,200,100,100
EUW1_5522670549,11.21,2010,EUW1,200,200,100,200,200,200,100
EUW1_5526646176,11.21,1596,EUW1,200,200,200,200,200,200,200
EUW1_5526579732,11.21,1698,EUW1,100,200,100,100,100,100,100
EUW1_5519782304,11.21,1335,EUW1,100,200,100,,,200,200
EUW1_5518788874,11.21,1502,EUW1,100,100,200,100,100,100,200
EUW1_5518842535,11.21,1937,EUW1,200,100,100,200,200,200,200
EUW1_5518668173,11.21,936,EUW1,200,200,200,,,200,
EUW1_5518498248,11.21,2790,EUW1,100,100,100,100,200,200,100
EUW1_5518542327,11.21,1505,EUW1,100,200,200,100,100,200,200
EUW1_5518390784,11.21,1373,EUW1,100,200,200,100,100,100,100
EUW1_5518276352,11.21,1272,EUW1,200,200,200,200,,200,100
EUW1_5518352499,11.21,914,EUW1,200,200,200,,,200,100
EUW1_5518196544,11.21,1446,EUW1,200,200,200,200,200,100,100
EUW1_5518128785,11.21,1389,EUW1,200,200,200,,,200,200
EUW1_5518009896,11.21,1968,EUW1,200,100,100,200,200,200,100
EUW1_5518005172,11.21,1270,EUW1,100,100,100,,,100,200
EUW1_5517971236,11.21,1857,EUW1,200,100,200,200,200,200,
EUW1_5517957768,11.21,696,EUW1,200,200,200,,,,200
EUW1_5517487356,11.21,2110,EUW1,200,100,100,100,100,200,100
EUW1_5517534358,11.21,1951,EUW1,200,100,200,200,100,200,200
EUW1_5517188280,11.21,961,EUW1,100,100,100,,,100,200
EUW1_5517194974,11.21,1284,EUW1,200,200,200,200,,200,100
EUW1_5517141748,11.21,1323,EUW1,200,200,200,200,,200,200
EUW1_5516621157,11.21,1489,EUW1,100,200,200,,100,100,200
EUW1_5515593230,11.21,1209,EUW1,100,200,200,,,100,100
EUW1_5515408709,11.21,1468,EUW1,200,200,200,200,200,200,200
EUW1_5531645188,11.21,1895,EUW1,200,200,100,100,100,200,100
EUW1_5528866828,11.21,2150,EUW1,100,200,100,100,100,100,100
EUW1_5528843773,11.21,962,EUW1,100,200,100,,,100,200
EUW1_5528759861,11.21,1182,EUW1,200,100,200,,,200,200
EUW1_5528744434,11.21,964,EUW1,100,100,100,,,100,100
EUW1_5528330455,11.21,1697,EUW1,200,100,200,200,200,100,200
EUW1_5528237508,11.21,1157,EUW1,100,200,100,100,,200,100
