match_id,patch,game_duration,region,winning_team,first_champion,first_towerfirst_inhibitor,first_baron,first_dragon,first_rift_herald
EUW1_5530308884,11.21,1365,EUW1,200,100,200,200,200,200,200
EUW1_5528878826,11.21,1617,EUW1,100,100,100,100,100,200,100
EUW1_5524653195,11.21,1793,EUW1,100,100,200,100,100,100,200
EUW1_5521019853,11.21,1288,EUW1,200,100,100,,200,100,100
EUW1_5519921063,11.21,1494,EUW1,100,100,100,100,100,200,100
EUW1_5515503216,11.21,2004,EUW1,100,200,200,200,100,200,200
EUW1_5515454699,11.21,2393,EUW1,200,200,100,100,100,100,200
EUW1_5512109232,11.20,1677,EUW1,200,200,100,200,200,200,100
EUW1_5510921851,11.20,1588,EUW1,200,100,200,,200,200,
EUW1_5510640041,11.20,2166,EUW1,100,100,200,100,100,100,200
EUW1_5510243093,11.20,2022,EUW1,100,100,100,200,200,100,200
EUW1_5510123702,11.20,1210,EUW1,200,200,200,200,,200,200
EUW1_5509157662,11.20,1939,EUW1,200,200,200,200,100,200,200
EUW1_5505942907,11.20,1388,EUW1,200,100,100,200,200,200,100
EUW1_5504580338,11.20,1917,EUW1,100,100,200,100,100,100,200
EUW1_5503094138,11.20,2091,EUW1,200,200,200,200,200,200,100
EUW1_5501597238,11.20,2258,EUW1,100,200,200,200,200,200,200
EUW1_5500089115,11.20,1844,EUW1,200,100,200,200,100,200,200
EUW1_5500083100,11.20,1567,EUW1,200,200,200,200,200,200,200
EUW1_5498717909,11.20,1625,EUW1,200,200,200,200,200,200,200
EUW1_5534514395,11.21,1628,EUW1,100,100,100,100,100,100,100
EUW1_5534472319,11.21,1163,EUW1,100,200,200,,,200,100
EUW1_5534338795,11.21,1358,EUW1,100,200,100,,100,200,100
EUW1_5534087416,11.21,1464,EUW1,200,200,200,200,200,100,
EUW1_5534030981,11.21,1743,EUW1,200,200,200,200,200,200,200
EUW1_5533932233,11.21,1630,EUW1,200,100,200,200,100,200,100
EUW1_5533260293,11.21,1740,EUW1,200,100,200,200,100,200,200
EUW1_5532466152,11.21,1672,EUW1,200,100,200,200,100,100,200
EUW1_5532436499,11.21,1861,EUW1,100,100,100,100,100,100,200
EUW1_5530802965,11.21,1076,EUW1,200,200,200,200,,100,200
EUW1_5529409576,11.21,1482,EUW1,200,100,200,200,200,200,200
EUW1_5529423205,11.21,1566,EUW1,100,200,100,100,100,100,200
EUW1_5529314182,11.21,1781,EUW1,100,200,100,100,100,200,100
EUW1_5527755610,11.21,2102,EUW1,100,100,100,200,100,200,100
EUW1_5527466304,11.21,2047,EUW1,100,200,200,200,100,200,200
EUW1_5527438911,11.21,1209,EUW1,200,200,200,200,,200,200
EUW1_5527394462,11.21,1225,EUW1,200,200,100,,,200,100
EUW1_5527248065,11.21,1970,EUW1,200,100,200,200,200,200,200
EUW1_5527086379,11.21,2447,EUW1,100,100,100,200,100,200,100
EUW1_5527000293,11.21,1679,EUW1,100,100,200,100,100,100,200
EUW1_5526527922,11.21,1000,EUW1,200,100,100,,,200,100
EUW1_5526269842,11.21,1299,EUW1,100,100,100,,100,200,100
EUW1_5524521891,11.21,1334,EUW1,100,200,200,100,100,200,200
EUW1_5523507368,11.21,1378,EUW1,200,100,200,200,,200,200
EUW1_5521611757,11.21,1303,EUW1,100,100,100,100,,100,100
EUW1_5534417777,11.21,1135,EUW1,200,200,200,200,,200,100
EUW1_5534413887,11.21,1422,EUW1,100,100,100,,100,200,100
EUW1_5530778678,11.21,1839,EUW1,200,100,200,200,100,100,200
EUW1_5530801697,11.21,1959,EUW1,200,200,100,200,200,200,100
EUW1_5530684680,11.21,1314,EUW1,200,100,200,,,200,200
EUW1_5526605088,11.21,1496,EUW1,200,200,200,200,200,100,200
EUW1_5526630843,11.21,1602,EUW1,100,100,100,100,100,100,100
EUW1_5526498381,11.21,1405,EUW1,200,200,200,200,,200,100
EUW1_5526446262,11.21,1102,EUW1,100,100,100,100,,200,100
EUW1_5526426557,11.21,1543,EUW1,200,100,200,200,200,100,200
EUW1_5524580462,11.21,1413,EUW1,200,100,200,,,200,200
EUW1_5524524787,11.21,1156,EUW1,100,100,100,,,100,100
EUW1_5523573430,11.21,1591,EUW1,200,100,200,200,200,200,200
EUW1_5523389832,11.21,1373,EUW1,100,200,100,100,100,200,200
EUW1_5523413205,11.21,1526,EUW1,100,100,100,100,200,200,100
EUW1_5523364555,11.21,1925,EUW1,200,200,100,100,100,200,100
EUW1_5522061380,11.21,1710,EUW1,100,100,100,100,100,100,100
EUW1_5521985945,11.21,1534,EUW1,100,200,100,100,100,100,100
EUW1_5521879157,11.21,2161,EUW1,200,100,200,200,200,200,100
EUW1_5521855999,11.21,952,EUW1,200,100,200,,,200,100
EUW1_5521788533,11.21,1894,EUW1,200,100,200,200,200,200,100
EUW1_5521813018,11.21,1050,EUW1,100,100,100,,,100,100
EUW1_5521314810,11.21,929,EUW1,100,100,100,,,200,100
EUW1_5520528917,11.21,1595,EUW1,100,200,100,100,100,200,100
EUW1_5520523236,11.21,1981,EUW1,100,200,200,100,200,100,200
EUW1_5533020238,11.21,1442,EUW1,200,200,100,,200,200,100
EUW1_5533016100,11.21,1864,EUW1,200,200,200,200,200,200,100
EUW1_5527714290,11.21,1237,EUW1,100,100,100,100,,100,100
EUW1_5527559439,11.21,1806,EUW1,100,200,100,100,100,200,100
EUW1_5522389027,11.21,1584,EUW1,200,100,100,200,200,200,100
EUW1_5521857217,11.21,1405,EUW1,200,200,200,200,200,100,200
EUW1_5521809515,11.21,1536,EUW1,100,200,200,100,100,200,100
EUW1_5521449104,11.21,1122,EUW1,100,100,100,100,,100,100
EUW1_5521387732,11.21,1988,EUW1,200,100,100,200,200,200,200
EUW1_5521380955,11.21,1714,EUW1,100,200,100,100,200,200,100
EUW1_5514968931,11.21,1033,EUW1,100,100,100,,,200,100
EUW1_5514975686,11.21,1879,EUW1,100,200,100,100,200,100,100
EUW1_5512027126,11.20,1224,EUW1,100,200,100,,,200,100
EUW1_5512009811,11.20,1327,EUW1,200,100,100,200,200,200,200
EUW1_5511967242,11.20,1619,EUW1,200,200,100,200,200,100,100
EUW1_5510995988,11.20,2253,EUW1,100,100,200,100,100,200,100
EUW1_5509415102,11.20,1659,EUW1,100,100,100,100,,200,100
EUW1_5494287871,11.20,1320,EUW1,100,100,200,100,,200,100
EUW1_5494311217,11.20,1981,EUW1,200,200,100,100,200,200,200
EUW1_5491308637,11.19,1639764,EUW1,200,200,200,200,200,200,100
EUW1_5491145968,11.19,1455716,EUW1,100,200,100,100,100,200,200
EUW1_5491087710,11.19,2358987,EUW1,200,100,100,100,200,200,100
EUW1_5491062975,11.19,1708445,EUW1,200,100,100,,200,100,100
EUW1_5489214292,11.19,1533271,EUW1,100,100,100,100,100,100,200
EUW1_5486120022,11.19,1625940,EUW1,200,100,100,,100,200,100
EUW1_5527350255,11.21,1504,EUW1,200,100,200,200,200,200,100
EUW1_5527394462,11.21,1225,EUW1,200,200,100,,,200,100
EUW1_5527337918,11.21,1654,EUW1,100,100,100,100,100,200,100
EUW1_5525744030,11.21,1329,EUW1,200,200,200,200,200,200,100
EUW1_5525639150,11.21,1361,EUW1,200,200,200,200,200,200,100
EUW1_5516768823,11.21,1627,EUW1,200,200,200,200,200,100,200
EUW1_5516761348,11.21,1991,EUW1,200,100,100,200,100,100,100
EUW1_5516643491,11.21,1284,EUW1,200,100,200,200,,200,200
EUW1_5515953568,11.21,919,EUW1,200,200,200,,,200,
EUW1_5515870013,11.21,2157,EUW1,100,100,100,100,100,200,100
EUW1_5515866465,11.21,1823,EUW1,200,100,100,200,100,200,100
EUW1_5515892063,11.21,1213,EUW1,200,100,200,,,200,100
EUW1_5515796875,11.21,1458,EUW1,200,100,100,100,200,100,100
EUW1_5515721501,11.21,1501,EUW1,200,100,200,200,200,200,100
EUW1_5515685614,11.21,1615,EUW1,200,200,200,200,,200,200
EUW1_5515255544,11.21,1211,EUW1,200,100,200,200,,100,200
EUW1_5515252142,11.21,1230,EUW1,200,200,100,200,,200,200
EUW1_5515137374,11.21,1584,EUW1,200,200,200,200,200,100,200
EUW1_5513330650,11.20,1568,EUW1,200,100,100,200,200,100,100
EUW1_5513303083,11.20,1554,EUW1,100,200,100,100,100,100,100
EUW1_5513159925,11.20,1972,EUW1,200,200,100,200,200,200,100
EUW1_5513174882,11.20,1354,EUW1,100,200,100,,,100,200
EUW1_5512134566,11.20,1723,EUW1,200,200,200,200,100,200,200
EUW1_5512048261,11.20,1367,EUW1,200,100,100,200,,200,100
EUW1_5512025579,11.20,917,EUW1,200,200,200,,,100,200
EUW1_5533513583,11.21,1452,EUW1,100,200,100,,100,200,100
EUW1_5533398403,11.21,1865,EUW1,100,200,100,100,100,100,100
EUW1_5533372810,11.21,1598,EUW1,100,100,100,100,100,100,200
EUW1_5533325210,11.21,1505,EUW1,100,100,100,100,100,100,100
EUW1_5533205697,11.21,1529,EUW1,200,100,200,200,200,200,200
EUW1_5533240580,11.21,1503,EUW1,100,100,100,100,,100,100
EUW1_5533155832,11.21,1431,EUW1,100,100,100,100,,200,
EUW1_5532534686,11.21,1958,EUW1,200,200,100,200,200,100,100
EUW1_5532430009,11.21,1445,EUW1,200,100,200,,,200,100
EUW1_5532364467,11.21,1503,EUW1,200,200,200,200,200,200,100
EUW1_5532268967,11.21,1561,EUW1,100,100,200,100,100,100,200
EUW1_5532271492,11.21,1280,EUW1,200,100,200,,,200,100
EUW1_5532245602,11.21,1352,EUW1,200,200,200,200,,200,200
EUW1_5532220473,11.21,1606,EUW1,200,200,200,200,200,200,100
EUW1_5530778678,11.21,1839,EUW1,200,100,200,200,100,100,200
EUW1_5530678289,11.21,2018,EUW1,200,200,100,200,200,100,100
EUW1_5530604566,11.21,1527,EUW1,200,200,200,200,200,200,200
EUW1_5530576030,11.21,2017,EUW1,100,100,200,100,100,100,100
EUW1_5530476528,11.21,2279,EUW1,200,100,100,200,100,100,200
EUW1_5530490739,11.21,1566,EUW1,100,200,200,100,100,200,
EUW1_5530269648,11.21,1383,EUW1,200,200,200,200,200,200,100
EUW1_5529949809,11.21,2410,EUW1,200,100,200,200,100,200,200
EUW1_5529558957,11.21,1613,EUW1,200,100,200,200,200,200,100
EUW1_5529556431,11.21,1287,EUW1,200,100,200,200,,100,100
EUW1_5529346908,11.21,1770,EUW1,100,200,100,100,,100,100
EUW1_5534337390,11.21,1508,EUW1,200,200,200,200,200,200,200
EUW1_5534372388,11.21,1232,EUW1,100,100,200,100,,200,200
EUW1_5534266507,11.21,1688,EUW1,100,200,100,100,100,100,100
EUW1_5534146110,11.21,1898,EUW1,200,100,100,200,100,200,200
EUW1_5534030981,11.21,1743,EUW1,200,200,200,200,200,200,200
EUW1_5533873232,11.21,1514,EUW1,100,100,100,100,100,100,100
EUW1_5533717895,11.21,1222,EUW1,200,200,100,,,100,100
EUW1_5533593710,11.21,1211,EUW1,200,100,200,,,200,200
EUW1_5533506658,11.21,1470,EUW1,100,100,100,100,100,200,100
EUW1_5533368140,11.21,2455,EUW1,200,200,100,100,100,200,100
EUW1_5532833062,11.21,1848,EUW1,100,100,200,100,100,200,100
EUW1_5532800728,11.21,2188,EUW1,100,100,100,100,100,200,100
EUW1_5532737892,11.21,1344,EUW1,200,200,200,200,200,200,200
EUW1_5532735562,11.21,2143,EUW1,100,100,200,100,100,100,200
EUW1_5532712912,11.21,1916,EUW1,200,,200,200,200,200,200
EUW1_5532638701,11.21,1894,EUW1,200,100,200,200,200,200,200
EUW1_5532549889,11.21,1912,EUW1,200,200,100,200,100,200,100
EUW1_5532495727,11.21,1848,EUW1,200,200,100,200,200,100,200
EUW1_5532420448,11.21,1210,EUW1,100,100,100,100,,100,100
EUW1_5532403860,11.21,1266,EUW1,200,200,200,200,,200,200
EUW1_5532315669,11.21,1765,EUW1,100,200,100,100,200,200,100
EUW1_5532250427,11.21,1516,EUW1,200,200,100,200,200,200,100
EUW1_5531374177,11.21,1503,EUW1,200,100,100,200,200,200,100
EUW1_5531362494,11.21,2476,EUW1,100,200,200,200,200,200,100
EUW1_5531270351,11.21,1361,EUW1,100,100,100,,100,100,200
EUW1_5534595946,11.21,1817,EUW1,100,200,200,100,200,100,200
EUW1_5534565472,11.21,2301,EUW1,200,100,200,100,100,200,100
EUW1_5534555169,11.21,1469,EUW1,200,200,200,200,200,200,100
EUW1_5534583090,11.21,1672,EUW1,100,100,100,100,100,200,100
EUW1_5534581561,11.21,1176,EUW1,200,200,200,200,,200,200
EUW1_5534521794,11.21,1232,EUW1,200,200,200,200,,200,200
EUW1_5534355476,11.21,2480,EUW1,200,100,100,200,100,100,100
EUW1_5534287093,11.21,2377,EUW1,200,100,100,100,100,100,200
EUW1_5534224883,11.21,920,EUW1,200,100,200,,,200,100
EUW1_5534031286,11.21,1860,EUW1,200,200,100,200,200,200,100
EUW1_5533682089,11.21,1780,EUW1,100,100,100,100,100,200,100
EUW1_5533526058,11.21,1408,EUW1,100,100,100,,,200,100
EUW1_5533460256,11.21,1453,EUW1,200,200,200,200,,200,200
EUW1_5532725603,11.21,1630,EUW1,100,100,100,100,100,100,200
EUW1_5532664205,11.21,2024,EUW1,100,200,100,100,100,200,100
EUW1_5532619923,11.21,1779,EUW1,200,200,100,200,200,100,100
EUW1_5532572922,11.21,2207,EUW1,200,200,100,100,100,200,100
EUW1_5532488312,11.21,1679,EUW1,100,200,200,100,100,100,200
EUW1_5531297205,11.21,1449,EUW1,200,200,100,,200,100,
EUW1_5531236101,11.21,1403,EUW1,100,100,100,100,,100,100
EUW1_5530986847,11.21,1516,EUW1,100,200,200,100,100,100,200
EUW1_5530983968,11.21,1036,EUW1,100,100,100,100,,100,100
EUW1_5530867204,11.21,1499,EUW1,100,200,200,100,100,200,200
EUW1_5530205011,11.21,1482,EUW1,100,100,100,100,100,100,100
EUW1_5529558957,11.21,1613,EUW1,200,100,200,200,200,200,100
EUW1_5532782206,11.21,1718,EUW1,100,100,200,100,100,100,200
EUW1_5532686001,11.21,1927,EUW1,100,100,100,100,100,100,100
EUW1_5532640199,11.21,884,EUW1,200,200,200,,,,
EUW1_5532606164,11.21,2373,EUW1,100,200,100,200,100,100,100
EUW1_5532592126,11.21,1828,EUW1,100,100,200,100,200,100,200
EUW1_5532495349,11.21,1399,EUW1,100,200,100,100,100,100,200
EUW1_5532420448,11.21,1210,EUW1,100,100,100,100,,100,100
EUW1_5532421221,11.21,1749,EUW1,200,100,100,200,200,200,200
EUW1_5532284381,11.21,2052,EUW1,200,200,200,200,200,100,200
EUW1_5532216565,11.21,1471,EUW1,200,200,200,200,200,200,200
EUW1_5532201419,11.21,1230,EUW1,100,100,100,100,,100,100
EUW1_5532098004,11.21,1221,EUW1,100,200,200,,,200,200
EUW1_5532074784,11.21,846,EUW1,100,200,100,100,,,100
EUW1_5532057507,11.21,1460,EUW1,100,100,100,,,200,200
EUW1_5531980462,11.21,1550,EUW1,100,200,200,100,100,100,100
EUW1_5531914761,11.21,1356,EUW1,200,100,100,200,,200,100
EUW1_5531262665,11.21,1302,EUW1,200,200,200,200,200,200,200
EUW1_5531049843,11.21,1653,EUW1,200,200,200,200,100,200,100
EUW1_5531045580,11.21,1541,EUW1,100,200,100,100,100,200,100
EUW1_5530983968,11.21,1036,EUW1,100,100,100,100,,100,100
EUW1_5530960747,11.21,1400,EUW1,200,100,200,200,200,100,100
EUW1_5530668563,11.21,1712,EUW1,200,200,200,200,200,200,200
EUW1_5530604566,11.21,1527,EUW1,200,200,200,200,200,200,200
EUW1_5530538276,11.21,1481,EUW1,100,100,100,100,100,100,200
EUW1_5530571475,11.21,1325,EUW1,200,100,200,,,200,200
EUW1_5534750574,11.21,1433,EUW1,100,100,200,100,100,100,100
EUW1_5533492522,11.21,2237,EUW1,200,100,100,100,100,200,200
EUW1_5533397646,11.21,1389,EUW1,200,100,200,200,200,200,100
EUW1_5533431795,11.21,1358,EUW1,100,200,200,100,100,200,200
EUW1_5533276859,11.21,1799,EUW1,200,200,200,200,100,200,100
EUW1_5533290906,11.21,1892,EUW1,200,100,200,100,200,200,100
EUW1_5533243670,11.21,2089,EUW1,200,200,200,200,200,200,
EUW1_5531755571,11.21,1702,EUW1,100,200,100,,100,100,100
EUW1_5527284826,11.21,1900,EUW1,200,200,200,200,200,200,100
EUW1_5526969683,11.21,1700,EUW1,200,200,100,100,200,200,100
EUW1_5516440293,11.21,2291,EUW1,200,100,200,200,200,100,200
EUW1_5516456416,11.21,1377,EUW1,200,100,200,,,100,200
EUW1_5516421579,11.21,1198,EUW1,200,100,100,200,,100,100
EUW1_5516387718,11.21,1408,EUW1,100,100,100,100,100,100,100
EUW1_5516314943,11.21,1625,EUW1,200,200,200,200,100,200,100
EUW1_5516321270,11.21,1693,EUW1,100,100,200,100,,200,200
EUW1_5515620902,11.21,2144,EUW1,100,100,200,100,100,200,200
EUW1_5515454699,11.21,2393,EUW1,200,200,100,100,100,100,200
EUW1_5515365673,11.21,2489,EUW1,200,200,200,100,100,100,200
EUW1_5515380465,11.21,1552,EUW1,200,200,200,,200,200,100
EUW1_5515264833,11.21,938,EUW1,100,100,100,,,,100
EUW1_5515118690,11.21,1909,EUW1,200,200,100,100,100,200,100
EUW1_5513833386,11.20,1808,EUW1,100,100,100,100,200,200,100
EUW1_5513699072,11.20,632,EUW1,200,200,,,,,200
EUW1_5513721775,11.20,1540,EUW1,200,200,200,200,200,200,100
EUW1_5533471691,11.21,1810,EUW1,100,100,200,100,100,200,200
EUW1_5533341926,11.21,1932,EUW1,100,200,200,100,100,100,200
EUW1_5533055372,11.21,2202,EUW1,200,200,200,200,100,200,100
EUW1_5533031169,11.21,2031,EUW1,100,100,100,100,100,100,100
EUW1_5532948096,11.21,1163,EUW1,100,100,200,,,100,200
EUW1_5532886179,11.21,1804,EUW1,200,200,200,200,100,100,200
EUW1_5532913174,11.21,1220,EUW1,200,100,100,,,100,200
EUW1_5532386972,11.21,1749,EUW1,200,200,200,200,200,200,200
EUW1_5532349004,11.21,1727,EUW1,200,200,100,200,200,200,100
EUW1_5531685366,11.21,2076,EUW1,100,100,200,200,200,200,100
EUW1_5531656943,11.21,2043,EUW1,200,100,200,100,200,100,100
EUW1_5531566283,11.21,917,EUW1,200,200,200,,,200,100
EUW1_5530780647,11.21,1598,EUW1,200,100,100,200,200,200,100
EUW1_5530673752,11.21,1741,EUW1,200,200,100,200,200,200,100
EUW1_5530508330,11.21,1680,EUW1,200,100,200,200,200,200,100
EUW1_5530541402,11.21,1695,EUW1,200,200,200,200,200,200,100
EUW1_5530445396,11.21,2122,EUW1,100,100,100,100,100,200,200
EUW1_5527239521,11.21,1749,EUW1,100,200,200,100,200,200,
EUW1_5527173097,11.21,1539,EUW1,200,100,200,,200,100,200
EUW1_5526803939,11.21,1696,EUW1,200,200,100,200,200,200,100
EUW1_5525243414,11.21,1268,EUW1,200,200,200,200,,200,200
EUW1_5525149270,11.21,2042,EUW1,100,200,100,100,200,200,100
EUW1_5525137761,11.21,1894,EUW1,200,100,200,200,200,200,100
EUW1_5524550099,11.21,1565,EUW1,200,100,100,200,200,200,100
EUW1_5523884236,11.21,1844,EUW1,200,200,200,,200,200,
EUW1_5524231765,11.21,1371,EUW1,100,100,100,,,100,100
EUW1_5524118334,11.21,1581,EUW1,200,200,200,200,200,200,200
EUW1_5524123837,11.21,1833,EUW1,100,100,100,100,200,100,100
EUW1_5522289706,11.21,1855,EUW1,200,100,200,200,200,200,200
EUW1_5522259191,11.21,662,EUW1,200,200,200,,,200,200
EUW1_5522306388,11.21,1344,EUW1,200,200,200,200,,100,200
EUW1_5522304579,11.21,1634,EUW1,100,100,100,100,100,100,200
EUW1_5522273333,11.21,1168,EUW1,200,100,200,,,200,200
EUW1_5521495519,11.21,1130,EUW1,100,200,100,,,100,100
EUW1_5521510890,11.21,1099,EUW1,100,100,100,100,,100,100
EUW1_5521404945,11.21,1230,EUW1,100,100,100,100,,100,100
EUW1_5521309209,11.21,1746,EUW1,200,200,100,200,200,100,100
EUW1_5521295706,11.21,1214,EUW1,200,200,200,200,,200,200
EUW1_5521292755,11.21,917,EUW1,200,100,100,,,200,100
EUW1_5521122219,11.21,1786,EUW1,200,100,200,200,100,200,200
EUW1_5521056757,11.21,1414,EUW1,200,200,200,200,,200,100
EUW1_5519954218,11.21,2029,EUW1,200,100,200,200,200,100,200
EUW1_5519325638,11.21,2011,EUW1,100,200,200,100,100,100,100
EUW1_5514980329,11.21,1616,EUW1,100,200,100,100,100,100,100
EUW1_5514927528,11.21,1210,EUW1,200,200,200,,,100,200
EUW1_5514985091,11.21,1354,EUW1,100,200,100,,100,200,100
EUW1_5514913044,11.21,1291,EUW1,200,100,200,200,,100,200
EUW1_5514559962,11.21,2036,EUW1,100,100,200,100,100,200,200
EUW1_5510166037,11.20,1865,EUW1,200,200,100,200,100,200,100
EUW1_5510119493,11.20,1747,EUW1,200,200,100,200,200,100,200
EUW1_5534270697,11.21,1519,EUW1,100,200,100,100,100,100,100
EUW1_5534044431,11.21,2015,EUW1,100,200,200,100,100,200,200
EUW1_5533817195,11.21,1685,EUW1,200,100,200,200,200,200,100
EUW1_5533599339,11.21,1837,EUW1,100,100,200,100,100,100,200
EUW1_5533592992,11.21,1673,EUW1,200,200,200,200,200,100,100
EUW1_5533516150,11.21,1475,EUW1,100,100,100,100,100,200,100
EUW1_5533443568,11.21,1474,EUW1,200,100,200,,200,100,200
EUW1_5533299787,11.21,1605,EUW1,100,100,100,100,100,200,100
EUW1_5533293650,11.21,1225,EUW1,100,200,200,,,100,200
EUW1_5532423088,11.21,1081,EUW1,200,100,200,200,,200,200
EUW1_5532266589,11.21,2131,EUW1,200,200,200,200,200,200,
EUW1_5532199624,11.21,2183,EUW1,100,200,100,100,100,100,200
EUW1_5532202839,11.21,1900,EUW1,100,100,200,100,100,100,200
EUW1_5532156605,11.21,1712,EUW1,100,100,100,100,,200,100
EUW1_5531933896,11.21,1589,EUW1,100,100,200,100,100,100,200
EUW1_5531857182,11.21,1240,EUW1,200,200,200,,200,200,200
EUW1_5531812482,11.21,1660,EUW1,100,200,200,100,100,100,100
EUW1_5527363482,11.21,1538,EUW1,200,100,200,200,200,200,200
EUW1_5527296419,11.21,2067,EUW1,100,200,100,100,200,200,100
EUW1_5527302068,11.21,1360,EUW1,100,100,100,100,100,100,100
EUW1_5521886162,11.21,1446,EUW1,200,100,200,200,200,200,200
EUW1_5521842003,11.21,1429,EUW1,100,200,200,100,100,100,200
EUW1_5521737066,11.21,1374,EUW1,100,100,100,100,100,100,100
EUW1_5521761996,11.21,1134,EUW1,100,100,100,100,,100,100
EUW1_5521702652,11.21,939,EUW1,200,200,200,,,200,200
EUW1_5534543923,11.21,1263,EUW1,100,100,100,100,,100,100
EUW1_5534561288,11.21,1313,EUW1,100,100,200,,,200,100
EUW1_5534499331,11.21,1253,EUW1,200,100,200,,200,200,100
EUW1_5534516725,11.21,1870,EUW1,200,200,100,200,200,200,200
EUW1_5534514395,11.21,1628,EUW1,100,100,100,100,100,100,100
EUW1_5534491510,11.21,1753,EUW1,100,200,100,100,200,100,100
EUW1_5534378277,11.21,1694,EUW1,200,100,100,200,100,100,100
EUW1_5534334959,11.21,1550,EUW1,100,200,100,100,100,100,100
EUW1_5534269400,11.21,1388,EUW1,100,100,100,100,100,100,100
EUW1_5534284476,11.21,1386,EUW1,200,100,200,200,,100,200
EUW1_5534211961,11.21,928,EUW1,200,200,200,,,100,200
EUW1_5534034808,11.21,2010,EUW1,200,100,200,200,200,200,200
EUW1_5533888690,11.21,1134,EUW1,100,200,100,,,100,100
EUW1_5533628690,11.21,2126,EUW1,100,100,200,100,100,100,100
EUW1_5533593710,11.21,1211,EUW1,200,100,200,,,200,200
EUW1_5533536900,11.21,1497,EUW1,100,100,200,100,100,100,200
EUW1_5533471568,11.21,1282,EUW1,200,200,200,200,,200,100
EUW1_5533423845,11.21,1722,EUW1,100,200,200,100,100,100,100
EUW1_5533269668,11.21,1384,EUW1,100,200,200,,,200,100
EUW1_5533323972,11.21,1404,EUW1,100,200,100,100,100,100,200
EUW1_5533179832,11.21,1771,EUW1,100,200,100,100,100,200,100
EUW1_5532772601,11.21,1909,EUW1,100,200,200,100,100,100,200
EUW1_5532791091,11.21,1568,EUW1,100,100,100,100,100,200,100
EUW1_5532680159,11.21,1255,EUW1,100,200,100,100,,100,100
EUW1_5532668820,11.21,1523,EUW1,200,100,200,200,200,100,200
EUW1_5534782275,11.21,1150,EUW1,200,200,200,,,200,200
EUW1_5534731049,11.21,1453,EUW1,200,200,200,200,200,200,200
EUW1_5534087416,11.21,1464,EUW1,200,200,200,200,200,100,
EUW1_5533889174,11.21,1680,EUW1,200,200,200,200,200,100,200
EUW1_5533467711,11.21,2424,EUW1,200,200,100,100,100,200,100
EUW1_5533491117,11.21,1200,EUW1,100,100,100,100,,100,100
EUW1_5533414821,11.21,1450,EUW1,100,200,100,100,200,200,100
EUW1_5533338781,11.21,1747,EUW1,200,200,200,200,200,200,200
EUW1_5533096613,11.21,1460,EUW1,100,100,100,,,200,100
EUW1_5533150630,11.21,1210,EUW1,200,200,200,,,200,200
EUW1_5532997723,11.21,1768,EUW1,100,100,200,100,100,100,200
EUW1_5533052326,11.21,1583,EUW1,100,200,100,100,100,100,200
EUW1_5532888333,11.21,1834,EUW1,200,200,200,200,200,200,200
EUW1_5532528635,11.21,1591,EUW1,100,200,200,100,100,100,200
EUW1_5532503263,11.21,1946,EUW1,200,100,100,200,200,200,100
EUW1_5532436499,11.21,1861,EUW1,100,100,100,100,100,100,200
EUW1_5532067833,11.21,1805,EUW1,100,200,100,200,200,100,100
EUW1_5532030417,11.21,1750,EUW1,100,100,100,100,100,200,100
EUW1_5531967027,11.21,1651,EUW1,100,100,100,100,100,100,100
EUW1_5529915920,11.21,1736,EUW1,200,100,200,200,200,200,200
EUW1_5529855373,11.21,1381,EUW1,100,100,100,100,100,100,100
EUW1_5529311392,11.21,1302,EUW1,200,100,100,,,200,100
EUW1_5529181370,11.21,1914,EUW1,200,100,100,100,100,100,100
EUW1_5529054680,11.21,1488,EUW1,100,100,100,100,100,200,100
EUW1_5528310788,11.21,1044,EUW1,200,200,200,200,,200,200
EUW1_5534698135,11.21,1007,EUW1,200,100,100,,,200,100
EUW1_5534674254,11.21,1404,EUW1,200,200,200,200,,100,200
EUW1_5534255113,11.21,1448,EUW1,200,200,200,200,200,200,100
EUW1_5534240909,11.21,1128,EUW1,100,200,100,100,,200,100
EUW1_5533467711,11.21,2424,EUW1,200,200,100,100,100,200,100
EUW1_5533045537,11.21,918,EUW1,100,100,100,,,200,100
EUW1_5533051272,11.21,1707,EUW1,200,200,200,200,200,200,200
EUW1_5532919410,11.21,931,EUW1,100,100,100,,,100,100
EUW1_5532422998,11.21,1790,EUW1,100,200,100,100,100,100,100
EUW1_5532268967,11.21,1561,EUW1,100,100,200,100,100,100,200
EUW1_5532234388,11.21,1558,EUW1,100,200,100,100,100,100,100
EUW1_5532118632,11.21,1904,EUW1,100,200,200,100,200,200,100
EUW1_5532030417,11.21,1750,EUW1,100,100,100,100,100,200,100
EUW1_5528727529,11.21,1888,EUW1,200,100,100,200,100,100,100
EUW1_5528440128,11.21,1951,EUW1,200,100,200,200,200,200,100
EUW1_5528303421,11.21,1435,EUW1,200,200,200,200,,200,100
EUW1_5528087395,11.21,1917,EUW1,100,100,100,200,200,200,100
EUW1_5528062303,11.21,797,EUW1,200,200,200,200,,200,200
EUW1_5528009270,11.21,2024,EUW1,200,200,200,200,200,100,100
EUW1_5527518776,11.21,1374,EUW1,100,100,100,100,,100,100
EUW1_5527125247,11.21,1060,EUW1,100,100,100,100,,200,100
EUW1_5526984219,11.21,1358,EUW1,100,200,100,100,100,100,200
EUW1_5526981137,11.21,1536,EUW1,100,200,200,100,100,200,100
