,tier,winner,first_kill,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,kill_advantage,gold_advantage,cs_advantage,damage_advantage,tower_advantage,plate_advantage,inhibitor_advantage,dragon_advantage,rift_advantage,baron_advantage
14781,GRANDMASTERS,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-13,-9378,-79,-19990,-2,-6,0,-2,-1,-1
12337,GRANDMASTERS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13,5467,-27,4964,1,-1,0,1,2,0
16625,GRANDMASTERS,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,5,3248,-16,22096,-1,-10,0,2,-2,1
25386,GRANDMASTERS,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,14,10316,106,15575,3,1,0,-1,0,1
18515,GRANDMASTERS,1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0,1194,81,-6568,1,-3,0,1,0,1
24577,GRANDMASTERS,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-8,-5558,47,-18414,-10,-1,-2,-2,-2,0
13930,GRANDMASTERS,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-10,-5911,-15,-12026,0,1,0,-2,1,-1
25282,GRANDMASTERS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-7,-1356,13,-6322,1,-2,0,0,1,1
23672,GRANDMASTERS,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-8,1761,22,-13779,2,-5,0,-3,-2,0
24438,GRANDMASTERS,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,295,31,13359,-2,-6,-1,-2,-2,0
25463,GRANDMASTERS,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,6,6265,12,13125,2,0,0,4,0,1
26148,GRANDMASTERS,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-15,-6865,-17,-24473,-6,-7,-2,-2,-2,1
26267,GRANDMASTERS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,7994,3,-698,3,8,0,0,2,1
25924,GRANDMASTERS,1.0,1.0,-1.0,0.0,-1.0,1.0,-1.0,2,424,-10,-13796,-1,-1,0,1,-1,-1
24581,GRANDMASTERS,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-20,-15486,-148,-23147,-9,-8,-2,-1,-2,-1
17359,GRANDMASTERS,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-10,-12485,-135,-8016,0,-9,0,-1,-2,-1
25576,GRANDMASTERS,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-2,-3696,-71,5382,-2,-2,0,-1,0,0
16652,GRANDMASTERS,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,10,9303,48,8248,1,5,0,3,1,0
13565,GRANDMASTERS,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-5,-4184,54,4778,0,4,0,-1,1,-1
15475,GRANDMASTERS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,4167,33,7908,0,5,0,1,1,1
22062,GRANDMASTERS,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,6,5780,-25,12400,0,-4,0,-1,-1,1
23205,GRANDMASTERS,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,4,848,22,2411,0,4,0,0,-2,0
13813,GRANDMASTERS,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-3,-4991,-5,-8272,-2,-5,0,1,-1,0
23476,GRANDMASTERS,1.0,1.0,-1.0,0.0,1.0,1.0,-1.0,-2,1298,9,-14180,1,-4,0,1,-1,0
20913,GRANDMASTERS,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-19,-15366,-109,-23091,-8,-3,-1,-1,-1,-1
