,tier,game_duration,winner,first_kill,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,kill_advantage,gold_advantage,cs_advantage,damage_advantage,tower_advantage,plate_advantage,inhibitor_advantage,dragon_advantage,rift_advantage
18800,BRONZE,1973,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,-1,-1,0,1,1
7687,BRONZE,1765,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,1,1,-1,-1,1,1,0,1,-1
10750,BRONZE,1756,1.0,1.0,-1.0,1.0,0.0,-1.0,1.0,-1,-1,0,-1,0,1,0,-1,0
5795,BRONZE,1479,1.0,1.0,-1.0,1.0,0.0,1.0,-1.0,1,1,1,1,0,1,0,1,-1
6400,BRONZE,1633,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1,1,1,-1,0,1,0,-1,0
32207,BRONZE,2095,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,0,1,1,1,0,-1,0,1,-1
1309,BRONZE,2104,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,1,1,1,1,1,0,0,-1,-1
20592,BRONZE,2644,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,-1,1,1,0,-1,-1
6463,BRONZE,1709,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1,-1,-1,-1,1,1,0,0,1
25526,BRONZE,1624,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,1,1,1,-1,-1,0,1,0
22314,BRONZE,1126,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1,1,1,1,0,-1,0,1,0
30469,BRONZE,2163,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1,1,-1,1,0,-1,0,-1,0
10863,BRONZE,1475,1.0,1.0,-1.0,1.0,0.0,1.0,-1.0,-1,1,1,-1,1,-1,0,0,0
9339,BRONZE,1862,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,-1,0,1,0,-1,-1
18144,BRONZE,1751,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1,1,1,1,0,1,0,1,0
30944,BRONZE,1783,-1.0,1.0,-1.0,-1.0,0.0,-1.0,0.0,-1,-1,-1,-1,0,1,0,-1,0
3330,BRONZE,2019,1.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,1,1,1,1,0,-1,0,-1,0
5599,BRONZE,1392,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1,1,1,-1,-1,0,1,1
3354,BRONZE,1842,1.0,1.0,1.0,0.0,0.0,1.0,-1.0,1,1,1,1,0,-1,0,1,0
13961,BRONZE,2601,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1,-1,-1,-1,1,1,0,0,-1
11489,BRONZE,2543,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,1,0,1,0,-1,0
3931,BRONZE,2074,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1,-1,1,-1,0,1,0,-1,0
4148,BRONZE,1597,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,1,1,0,0,-1
7668,BRONZE,1682,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,1,0,-1,-1
3836,BRONZE,1836,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0,0,0,-1
11293,BRONZE,2169,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,1,1,1,0,0,-1
28586,BRONZE,1665,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1,-1,1,1,-1,-1,0,1,1
10341,BRONZE,1960,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1,1,1,1,0,-1,0,0,-1
3382,BRONZE,1995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,-1,1,-1,-1,0,1,0
7586,BRONZE,2868,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1,-1,-1,-1,0,-1,0,0,0
23193,BRONZE,1779,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1,1,-1,1,-1,-1,0,-1,1
3301,BRONZE,1467,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,1,1,0,-1,-1
3108,BRONZE,2744,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1,-1,-1,-1,0,1,0,0,1
26159,BRONZE,2305,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1,-1,1,1,0,-1,0,1,0
292,BRONZE,1169,-1.0,1.0,-1.0,0.0,0.0,-1.0,0.0,-1,-1,-1,-1,1,1,0,-1,0
18747,BRONZE,1859,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1,-1,-1,-1,1,1,0,-1,-1
33848,BRONZE,1911,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0,1,1,1,0,-1,0,-1,-1
10881,BRONZE,1753,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,1,1,1,-1,-1,0,0,0
7309,BRONZE,1749,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,-1,-1,-1,0,1,0,0,-1
20159,BRONZE,3161,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1,1,1,1,0,-1,0,0,1
22841,BRONZE,939,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1,-1,-1,-1,1,1,0,-1,-1
1717,BRONZE,1575,1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1,-1,-1,-1,1,1,0,-1,-1
13976,BRONZE,1990,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1,1,1,1,0,-1,0,-1,-1
3157,BRONZE,2991,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1,-1,-1,1,0,1,0,1,0
30493,BRONZE,1530,-1.0,1.0,-1.0,-1.0,0.0,1.0,1.0,0,-1,-1,1,1,1,0,1,0
1940,BRONZE,1771,-1.0,1.0,-1.0,-1.0,0.0,1.0,0.0,-1,-1,-1,-1,0,1,0,1,0
9453,BRONZE,1780,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1,-1,-1,-1,1,1,0,-1,1
12383,BRONZE,1906,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,-1,0,1,0,-1,-1
6307,BRONZE,1585,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,0,1,0,0,-1
1327,BRONZE,1422,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,0,-1,-1,-1,1,1,0,1,-1
19194,BRONZE,1165,-1.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,-1,-1,-1,-1,1,1,0,-1,-1
4126,BRONZE,1944,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1,1,1,1,0,1,0,1,-1
10637,BRONZE,2356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,0,-1,0,0,0
5857,BRONZE,1815,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,1,1,-1,-1,0,1,0,1,0
2871,BRONZE,2167,1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,-1,-1,-1,-1,0,1,0,0,0
34880,BRONZE,1507,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,1,1,1,1,0,-1,0,1,1
4817,BRONZE,1416,1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,1,1,1,1,0,-1,0,1,0
28102,BRONZE,1776,1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1,-1,-1,-1,1,1,0,-1,-1
1642,BRONZE,863,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1,1,1,-1,-1,0,1,1
10294,BRONZE,3034,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1,1,-1,1,0,0,0,1,-1
1952,BRONZE,1692,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,1,1,0,-1,-1
4330,BRONZE,1414,-1.0,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1,-1,-1,-1,0,1,0,1,0
1652,BRONZE,1407,1.0,1.0,1.0,0.0,0.0,1.0,-1.0,1,1,1,1,0,-1,0,1,-1
5029,BRONZE,1857,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,-1,-1,-1,1,1,0,0,-1
912,BRONZE,1259,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1,-1,-1,-1,1,1,0,-1,-1
