,tier,winner,first_kill,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,kill_advantage,gold_advantage,cs_advantage,damage_advantage,tower_advantage,plate_advantage,inhibitor_advantage,dragon_advantage,rift_advantage,baron_advantage
1963,BRONZE,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,16,4342,12,4651,2,3,0,0,-1,0
13640,BRONZE,-1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,-18,-8312,-108,-19500,1,1,0,-3,0,0
8735,BRONZE,1.0,1.0,1.0,1.0,0.0,-1.0,-1.0,7,8818,98,14305,2,3,0,-2,0,0
5503,BRONZE,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-21,-8687,-45,-19441,-4,-7,-2,-3,-1,0
5179,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-7,-8328,-132,-21623,-2,-10,0,-1,-1,0
2079,BRONZE,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,-17,-6303,14,-13525,-2,0,-1,1,0,0
7336,BRONZE,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,4,7817,90,-385,2,7,0,2,2,0
8983,BRONZE,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-3,-4086,-62,-12184,-2,-1,0,1,0,0
6035,BRONZE,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-3,2354,20,-9325,1,3,0,3,0,0
78,BRONZE,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-27,-15852,-154,-19425,-6,-5,-1,-3,-1,0
8602,BRONZE,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,5,10989,98,24264,6,8,1,0,-1,0
9752,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-17,-12275,-92,-19943,-10,-5,-2,-4,-2,-1
4032,BRONZE,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1,-2493,-11,9561,-1,4,0,-1,2,0
4611,BRONZE,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-6,-7198,-114,353,-3,-8,0,-2,0,0
3957,BRONZE,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-13,-1298,72,796,-1,2,0,1,0,0
5529,BRONZE,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,18,11475,142,30232,4,2,0,-1,1,0
25218,BRONZE,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,9,4661,127,9482,3,7,0,1,-2,0
1204,BRONZE,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,9,3857,11,11586,3,-2,0,2,0,1
4956,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-2,-3255,-85,-6309,-2,-2,0,2,-1,0
22221,BRONZE,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-11,-12665,-177,-14983,-10,-5,-3,-3,-1,0
1231,BRONZE,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.0,-14,636,55,-10914,0,0,0,1,0,0
9121,BRONZE,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-9,-4250,34,-1242,-2,-5,0,-1,0,0
5811,BRONZE,1.0,1.0,1.0,0.0,0.0,1.0,-1.0,8,3544,-11,23645,2,1,0,3,-1,0
25416,BRONZE,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,4,-1661,-74,-18100,4,1,0,-1,1,0
8860,BRONZE,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1,-766,-11,-3553,-3,-2,0,1,-1,1
1245,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,7808,37,14302,4,6,0,2,2,0
7522,BRONZE,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,20,10704,-72,15002,3,6,1,3,-1,1
5754,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,20,14510,178,19114,5,-2,0,3,0,1
3470,BRONZE,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-4,1091,52,-1705,1,2,0,1,1,0
755,BRONZE,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-10,-7189,-71,-21696,-3,-5,0,0,-1,0
