,tier,winner,first_kill,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,kill_advantage,gold_advantage,cs_advantage,damage_advantage,tower_advantage,plate_advantage,inhibitor_advantage,baron_advantage,dragon_advantage,rift_advantage
836,BRONZE,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1,1,1,1,1,1,0,0,1,1
3924,BRONZE,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,0,0,-1,-1
2169,BRONZE,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1,1,1,-1,0,-1,0,0,1,1
954,BRONZE,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
4618,BRONZE,1.0,-1.0,1.0,1.0,0.0,-1.0,1.0,1,1,1,1,1,1,1,0,1,1
186,BRONZE,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1,1,1,1,1,1,1,0,1,-1
4309,BRONZE,1.0,1.0,-1.0,1.0,0.0,-1.0,-1.0,1,1,1,1,1,-1,0,0,1,-1
3519,BRONZE,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1,1,-1,1,1,-1,0,0,0,1
2052,BRONZE,1.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,-1,1,-1,-1,1,1,1,0,-1,-1
3483,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1
4848,BRONZE,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1,-1,1,-1,-1,0,0,0,-1,1
509,BRONZE,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1,1,-1,1,1,1,0,0,0,-1
2226,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1,-1,-1,-1,-1,1,0,-1,-1,1
2623,BRONZE,-1.0,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1,-1,-1,1,-1,-1,-1,0,1,-1
1184,BRONZE,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1,1,1,1,1,0,0,1,1
276,BRONZE,-1.0,1.0,1.0,-1.0,0.0,1.0,-1.0,-1,-1,1,-1,-1,0,0,0,1,0
676,BRONZE,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,-1,1,-1,-1,1,-1,0,1,-1
3785,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,0,1,1
4165,BRONZE,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,1,1,1,1,1,1,1,0,1,1
3798,BRONZE,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,0,-1,-1,-1,-1,-1,-1,0,1,1
3425,BRONZE,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
2627,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,-1,1,1,1,0,0,1,1
2363,BRONZE,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0,-1,-1,1,-1,-1,0,0,-1,-1
3342,BRONZE,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1,-1,-1,-1,-1,-1,0,0,-1,0
4347,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,-1,-1,-1,-1,-1,0,0,0,-1
1981,BRONZE,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1,-1,-1,1,0,-1,0,-1,-1,1
1095,BRONZE,1.0,-1.0,1.0,1.0,0.0,-1.0,1.0,1,1,1,1,1,1,1,0,1,1
4084,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,0,1,-1
4633,BRONZE,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
3027,BRONZE,1.0,-1.0,1.0,1.0,0.0,1.0,-1.0,0,1,1,1,1,1,0,0,1,-1
2534,BRONZE,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1,-1,1,1,0,1,0,0,1,1
1786,BRONZE,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1,1,-1,1,1,-1,0,0,0,-1
